Date,BJD,Observatory,Filter,target,pp,Measurement file name,full_file_name,texp,Duration,Efficiency,cbvs,ncols
2021-09-11,2459468,PEST,Rc,TIC268532343,1,data.txt,TIC268532343-01_20210911_PEST_Rc_data.txt,40.99968373775482,7.15072800591588,92.9,5,14
2020-12-11,2459194,LCO-CTIO-1m0,ip,TIC268532343,1,17px_cw_measurements.tbl,TIC268532343-01_20201211_LCO-CTIO-1m0_ip_17px_cw_measurements.tbl,18.477818369865417,3.1994350031018257,96.5,5,165
2021-09-29,2459486,LCO-McD-1m0,gp,TIC268532343,1,15px_Measurements.tbl,TIC268532343-01_20210929_LCO-McD-1m0_gp_15px_Measurements.tbl,39.369598031044006,5.5399920009076595,88.0,5,279
2021-09-29,2459486,LCO-McD-1m0,ip,TIC268532343,1,16px_Measurements.tbl,TIC268532343-01_20210929_LCO-McD-1m0_ip_16px_Measurements.tbl,39.39840495586395,5.737991999834776,85.6,5,279
2021-09-29,2459486,LCO-McD-1m0,ip,TIC268532343,1,18px_cw_measurements.tbl,TIC268532343-01_20210929_LCO-McD-1m0_ip_18px_cw_measurements.tbl,39.39628601074219,5.73799991235137,87.4,5,326
2021-09-29,2459486,LCO-McD-1m0,gp,TIC268532343,1,17px_cw_measurements.tbl,TIC268532343-01_20210929_LCO-McD-1m0_gp_17px_cw_measurements.tbl,39.351218193769455,5.738137498497963,91.1,5,349
