Date,BJD,Observatory,Filter,target,pp,Measurement file name,full_file_name,texp,Duration,Efficiency,cbvs,ncols
2023-08-10,2460166,TLS-Tautenburg-TEST-0m3,R,TIC_327369524,1,7pix_measurements.xls,TIC_327369524-01_20230810_TLS-Tautenburg-TEST-0m3_R_7pix_measurements.xls,14.66761976480484,6.1240104585886,0.0,5,230
1001-01-01,0,unknown,xx,unknown,-1,unknown.unknown,TIC327369524-01_UT20230920_Acton-Sky-Portal-0.36m_gp_measurements.xls,10.691419243812561,6.691296402364969,99.8,5,1607
2023-09-19,2460206,Hamilton-0m31,gp,TIC327369524,1,measurements.tbl,TIC327369524-01_20230919_Hamilton-0m31_gp_measurements.tbl,60.34967601299286,5.793726425617933,83.3,5,114
2023-10-14,2460231,Villa39_0m35,I,TIC327369524,1,7p_measurements.tbl,TIC327369524-01_20231014_Villa39_0m35_I_7p_measurements.tbl,235.341015458107,5.253021910786629,92.5,5,277
2023-10-14,2460231,Villa39-0m35,B,TIC327369524,1,6p_measurements.tbl,TIC327369524-01_20231014_Villa39-0m35_B_6p_measurements.tbl,235.3150114417076,5.251672703772783,92.6,5,277
