,Date,BJD,Observatory,Filter,target,pp,Measurement file name,full_file_name,texp,Duration,Efficiency,cbvs,ncols
93459_z,2020-10-19,2459141,muscat,z,TIC274215536,1,measurements.csv,TIC274215536-01_20201019_muscat_z_measurements.csv,7.343995571136475,3.274175997823477,88.0,8,8
93459_g,2020-07-31,2459061,muscat,g,TIC284441182,1,measurements.csv,TIC284441182-01_20200731_muscat_g_measurements.csv,5.673596262931824,5.769792001694441,85.3,8,8
93459_r,2020-10-19,2459141,muscat,r,TIC274215536,1,measurements.csv,TIC274215536-01_20201019_muscat_r_measurements.csv,7.343995571136475,3.2697359919548035,93.6,8,8
