target,spectrum_file,Li_SNR
TIC419523962,TIC0419523962S-ab20230707.fits,17.17327530962253
TIC419523962,TIC0419523962S-ab20230128.fits,15.182181441199813
TIC327369524,TIC0327369524S-ab20230924.fits,14.409613309915864
TIC327369524,TIC0327369524S-ab20231010.fits,15.706202565750583
TIC327369524,TIC0327369524S-ab20230929.fits,18.382634093963087
TIC327369524,TIC0327369524S-ab20230925.fits,15.62540368933112
TIC327369524,TIC0327369524S-ab20230113.fits,13.722216409319454
TIC327369524,TIC0327369524S-ab20231001.fits,13.945774462620516
TIC327369524,TIC0327369524S-ab20231002.fits,15.419754659905045
TIC327369524,TIC0327369524S-ab20230921.fits,15.058748344097836
TIC327369524,TIC0327369524S-ab20231003.fits,15.556424009636277
TIC327369524,TIC0327369524S-ab20221225.fits,17.401216161639038
TIC327369524,TIC0327369524S-ab20230926.fits,17.671163935742445
TIC327369524,TIC0327369524S-ab20231008.fits,16.35102052407762
TIC327369524,TIC0327369524S-ab20231004.fits,16.072784422774852
TIC327369524,TIC0327369524S-ab20230907.fits,16.623700481384702
TIC327369524,TIC0327369524S-ab20231009.fits,16.0025297526991
TIC251848941,TIC0251848941S-ab20181105.fits,12.994558035268081
TIC251848941,TIC0251848941S-ab20181025.fits,15.523892158541425
TIC12421862,TIC0012421862S-ab20181116.fits,7.479318021771801
TIC418761354,TIC0418761354S-ab20211026.fits,10.108811758175456
TIC418761354,220481411S-ab20160715.fits,15.044071229702693
TIC440113053,TIC0440113053S-ab57390.66755.fits,11.901852475839018
TIC440113053,TIC0440113053S-ab57772.68491.fits,12.314349669264113
TIC440113053,TIC0440113053S-ab57734.75109.fits,12.98854475501569
TIC440113053,TIC0440113053S-ab57409.66062.fits,10.739006384003272
TIC440113053,TIC0440113053S-ab57653.93141.fits,9.782528614025429
TIC440113053,TIC0440113053S-ab57288.86074.fits,9.911619574330105
TIC440113053,TIC0440113053S-ab57427.62310.fits,6.405818929038813
TIC440113053,TIC0440113053S-ab57356.60189.fits,11.590962841680437
TIC440113053,TIC0440113053S-ab57297.86559.fits,13.417193832762656
TIC440113053,TIC0440113053S-ab57417.61547.fits,10.97968921059986
TIC440113053,TIC0440113053S-ab57296.88246.fits,11.575641797869345
TIC440113053,TIC0440113053S-ab57749.65461.fits,9.205614528352879
TIC440113053,TIC0440113053S-ab57327.79408.fits,9.855934758282299
TIC257571543,220218012S-ab20160912.fits,10.6317581432035
TIC257571543,220218012S-PM57640.95882a.fits,4.20014133806704
TIC267650535,TIC0267650535S-ab55078.94577.fits,9.988472836615287
TIC37749396,TIC0037749396S-ab20181221.fits,12.041681150962965
TIC37749396,TIC0037749396S-ab20210805.fits,12.090445703975282
TIC405333767,220487418S-ab20160713.fits,16.000572269781216
TIC405333767,220487418S-WC57700.69094s.fits,5.303962202406028
TIC336691874,TIC0336691874S-ab20220707.fits,15.367148866669774
TIC336691874,TIC0336691874S-ab20220629.fits,12.136113499813371
TIC284441182,TIC0284441182S-ab20200126.fits,5.564513566240652
TIC284441182,TIC0284441182S-ab20200127.fits,5.970897243343281
TIC318707987,220383386S-WC57615.82163a.fits,4.167929345183809
TIC318707987,220383386S-WC57615.80604a.fits,4.162710650820991
TIC318707987,220383386S-ME57673.77033a.fits,4.5011110843235995
TIC318707987,220383386S-Me57673.79004a.fits,4.457364748960921
TIC318707987,220383386S-MJ57686.75230a.fits,4.558477553875754
TIC318707987,220383386S-WC57615.88304a.fits,4.195510519204242
TIC318707987,220383386S-WC57615.85303a.fits,4.174111636411327
TIC318707987,220383386S-ME57674.84277a.fits,4.46452602481887
TIC318707987,220383386S-MJ57687.80253a.fits,4.548067261602086
TIC318707987,220383386S-WC57615.86804a.fits,4.187528727197539
TIC318707987,220383386S-WC57615.83664a.fits,4.169415915927203
TIC318707987,220383386S-ab20160712.fits,15.11006019950989
TIC118327550,TIC0118327550S-ab20181221.fits,5.804922313058134
TIC257392778,220216730S-Me57673.88331a.fits,4.3609527065463505
TIC257392778,220216730S-ab20160715.fits,11.845113392548779
