Filename,Target,RA,Dec,instrument,OBJECT_hdr,DATE_OBS,MJD_OBS,EXPTIME,SNR_General,SNR_Li,SNR_Ha,SNR_Ca,wavelength_low,wavelength_high,note,error
data/organized_spectra/KELT-1/HI.20170702.25362_2_01_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,124.73480584791876,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_02_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,65.68415085024516,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_03_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,74.87210125853981,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_04_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,66.97049131218076,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_05_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,71.15362436666759,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_06_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,82.88730091623299,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_07_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,80.85685783072913,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_08_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,91.10866855320764,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_09_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,87.66250986025858,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_10_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,97.03396890721449,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_11_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,103.31319883177136,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_12_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,103.46060093921584,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_13_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,104.210157630529,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_14_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,105.55603751279295,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_15_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,100.62883879422264,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_16_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,101.68111831582144,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_17_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,106.150838548166,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_DN.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,[DN] focus (Flux) [mul] [div],2017-07-02,57936.293564,459.92959595,107.44659066407486,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_Err.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Error),2017-07-02,57936.293564,459.92959595,151.88416835409126,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_Flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,103.46051550602192,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_Sky.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Sky),2017-07-02,57936.293564,459.92959595,74.62092349326895,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_Sum.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Summed Flux),2017-07-02,57936.293564,459.92959595,103.80311081047256,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_Var.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Variance),2017-07-02,57936.293564,459.92959595,75.38918166404909,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_2_s2n.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,[S/N] focus (Flux) [div] [min],2017-07-02,57936.293564,459.92959595,158.41320798348647,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_01_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,109.25972085332523,,75.08254836924307,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_02_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,107.0044089751247,107.87843336790228,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_03_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,96.45167842466329,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_04_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,96.91267026954765,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_05_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,98.14271392502482,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_06_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,78.51121513754262,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_07_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,99.5107674232868,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_08_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,71.15644999465052,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_09_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,96.90002282695218,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_10_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,128.79737293243977,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_DN.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,[DN] focus (Flux) [mul] [div],2017-07-02,57936.293564,459.92959595,110.35563423118587,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_Err.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Error),2017-07-02,57936.293564,459.92959595,105.94068122000246,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_Flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.293564,459.92959595,107.00448130723152,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_Sky.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Sky),2017-07-02,57936.293564,459.92959595,120.30347253888227,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_Sum.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Summed Flux),2017-07-02,57936.293564,459.92959595,108.1686819782917,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_Var.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Variance),2017-07-02,57936.293564,459.92959595,52.558334834262325,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.25362_3_s2n.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,[S/N] focus (Flux) [div] [min],2017-07-02,57936.293564,459.92959595,114.7201796272898,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_01_flux.fits,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,83.51207481009715,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_01_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,83.51207481009715,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_02_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,49.287418335863805,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_03_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,55.188972702602754,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_04_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,51.001810599120326,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_05_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,53.83225726465643,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_06_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,59.28277543045774,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_07_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,59.65692628895662,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_08_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,66.99739373016286,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_09_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,65.95819029146398,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_10_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,68.48090623377024,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_11_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,72.83862408479135,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_12_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,72.65791920793255,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_13_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,70.6023928629988,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_14_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,74.96934190102566,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_15_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,71.11080015700446,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_16_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,70.33815298276372,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_17_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,72.79004005520038,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_DN.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,[DN] focus (Flux) [mul] [div],2017-07-02,57936.600467,497.7791748,73.8027876370238,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_Err.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Error),2017-07-02,57936.600467,497.7791748,109.80081642865365,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_Flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,72.6580743626918,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_Sum.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Summed Flux),2017-07-02,57936.600467,497.7791748,72.81538731875605,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_Var.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Variance),2017-07-02,57936.600467,497.7791748,54.60073832950256,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_2_s2n.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,[S/N] focus (Flux) [div] [min],2017-07-02,57936.600467,497.7791748,118.62559607724896,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_3_01_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,73.42768887124421,,52.09679938766925,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_3_02_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,77.1504313369895,84.16438660826043,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_3_03_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,67.5837694764523,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_3_04_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,71.52070411780558,,,,,,validated_spectrum,
data/organized_spectra/KELT-1/HI.20170702.51878_3_05_flux.fits.gz,KELT-1,0.3620995,39.3837953,HIRES: High Resolution Echelle Spectrometer,focus (Flux),2017-07-02,57936.600467,497.7791748,74.10059869395563,,,,,,validated_spectrum,
