Filename,wavelength_low,wavelength_high,has_Li,has_Halpha,has_CaH,has_CaK
data/organized_spectra/KELT-1/HI.20170702.25362_2_06_flux.fits.gz,5275.1018,5369.2776,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_01_flux.fits.gz,4908.8228,4996.3827,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_09_flux.fits.gz,7684.0341,7819.7321,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_14_flux.fits.gz,5990.329,6097.2728,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_03_flux.fits.gz,6797.0446,6918.0203,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_13_flux.fits.gz,5890.4878,5995.6649,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_04_flux.fits.gz,6930.3541,7053.5962,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_14_flux.fits.gz,3970.1934,4041.4759,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_13_flux.fits.gz,3925.5695,3996.2807,False,False,True,True
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_11_flux.fits.gz,5700.8144,5802.6235,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_07_flux.fits.gz,7363.2426,7493.7214,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_16_flux.fits.gz,6200.903,6311.553,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_06_flux.fits.gz,3633.243,3701.6023,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_08_flux.fits.gz,5437.7158,5534.8213,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_03_flux.fits.gz,5049.3696,5139.4529,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_09_flux.fits.gz,3754.7829,3823.7772,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_01_flux.fits,4909.1168,4996.6799,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_04_flux.fits.gz,5122.5342,5213.9476,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_08_flux.fits.gz,7520.4469,7653.499,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_05_flux.fits.gz,7069.012,7194.5912,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_12_flux.fits.gz,5793.9199,5897.3835,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_02_flux.fits.gz,6668.7696,6787.5512,True,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_15_flux.fits.gz,6093.6145,6202.3794,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_25_flux.fits.gz,4531.3519,4611.972,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_22_flux.fits.gz,4363.5423,4441.1322,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_07_flux.fits.gz,5355.0157,5450.6342,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_10_flux.fits.gz,7854.9127,7993.3293,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_14_flux.fits.gz,5990.6864,6097.637,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_02_flux.fits.gz,6668.3722,6787.1474,True,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_19_flux.fits.gz,4207.8758,4282.7684,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_13_flux.fits.gz,5890.8384,5996.024,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_05_flux.fits.gz,7068.5897,7194.1635,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_08_flux.fits.gz,7519.998,7653.0392,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_11_flux.fits.gz,3838.7447,3908.4798,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_16_flux.fits.gz,4062.14,4134.7218,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_10_flux.fits.gz,7854.4376,7992.8383,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_06_flux.fits.gz,5275.4162,5369.5973,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_01_flux.fits.gz,4909.1168,4996.6799,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_03_flux.fits.gz,3515.6627,3584.0064,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_17_flux.fits.gz,6311.2724,6423.8476,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_10_flux.fits.gz,5609.9925,5710.1829,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_07_flux.fits.gz,7363.6836,7494.169,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_05_flux.fits.gz,5197.5381,5290.3138,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_02_flux.fits.gz,4977.9631,5066.7578,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_28_flux.fits.gz,4712.5514,4796.4795,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_20_flux.fits.gz,4258.4199,4334.1711,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_27_flux.fits.gz,4650.5682,4733.3669,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_09_flux.fits.gz,5522.3408,5620.9638,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_07_flux.fits.gz,5355.3351,5450.9592,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_12_flux.fits.gz,5794.266,5897.7363,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_18_flux.fits.gz,4158.0526,4232.1294,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_04_flux.fits.gz,6929.9402,7053.1766,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_15_flux.fits.gz,6093.9776,6202.7494,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_03_flux.fits.gz,6796.6387,6917.6095,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_17_flux.fits.gz,4109.5729,4182.8788,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_09_flux.fits.gz,7683.5728,7819.2585,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_10_flux.fits.gz,3796.4335,3865.7678,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_03_flux.fits.gz,5049.0695,5139.1465,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_04_flux.fits.gz,5122.2297,5213.6369,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_08_flux.fits.gz,5437.3915,5534.4912,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_26_flux.fits.gz,4590.1923,4671.8828,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_21_flux.fits.gz,4310.3346,4386.9857,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_06_flux.fits.gz,7213.3358,7341.3295,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_11_flux.fits.gz,5700.474,5802.2761,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_01_flux.fits.gz,6545.2543,6661.907,False,True,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_16_flux.fits.gz,6200.533,6311.1762,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_01_flux.fits.gz,6545.2543,6661.907,False,True,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_17_flux.fits.gz,6311.2724,6423.8476,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_06_flux.fits.gz,7213.3358,7341.3295,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_10_flux.fits.gz,5609.9925,5710.1829,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_24_flux.fits.gz,4473.999,4553.575,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_23_flux.fits.gz,4418.0788,4496.6444,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_09_flux.fits.gz,5522.3408,5620.9638,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_05_flux.fits.gz,5197.5381,5290.3138,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_02_flux.fits.gz,4977.9631,5066.7578,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_09_flux.fits.gz,7683.5728,7819.2585,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_15_flux.fits.gz,4015.6985,4087.6053,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_12_flux.fits.gz,3881.7717,3951.9663,False,False,False,True
data/organized_spectra/KELT-1/HI.20170702.25362_3_03_flux.fits.gz,6796.6387,6917.6095,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_14_flux.fits.gz,5990.6864,6097.637,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_04_flux.fits.gz,6929.9402,7053.1766,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_13_flux.fits.gz,5890.8384,5996.024,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_07_flux.fits.gz,3673.2428,3741.7476,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_06_flux.fits.gz,5275.4162,5369.5973,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_08_flux.fits.gz,3713.7377,3782.4549,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_01_flux.fits.gz,4909.1168,4996.6799,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_22_flux.fits.gz,4363.5423,4441.1322,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_2_08_flux.fits.gz,5437.3915,5534.4912,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_25_flux.fits.gz,4531.3519,4611.972,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_03_flux.fits.gz,5049.0695,5139.1465,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_04_flux.fits.gz,5122.2297,5213.6369,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_07_flux.fits.gz,7363.6836,7494.169,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_11_flux.fits.gz,5700.474,5802.2761,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_16_flux.fits.gz,6200.533,6311.1762,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_06_flux.fits.gz,3633.243,3701.6023,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_10_flux.fits.gz,7854.4376,7992.8383,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_09_flux.fits.gz,3754.7829,3823.7772,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_07_flux.fits.gz,5355.3351,5450.9592,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_13_flux.fits.gz,3925.5695,3996.2807,False,False,True,True
data/organized_spectra/KELT-1/ccd3__HI.20170702.25362_3_08_flux.fits.gz,7519.998,7653.0392,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_14_flux.fits.gz,3970.1934,4041.4759,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_12_flux.fits.gz,5794.266,5897.7363,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_05_flux.fits.gz,7068.5897,7194.1635,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_15_flux.fits.gz,6093.9776,6202.7494,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_02_flux.fits.gz,6668.3722,6787.1474,True,False,False,False
