,Date,BJD,Observatory,Filter,target,pp,Measurement file name,full_file_name,texp,Duration,Efficiency,cbvs,ncols
1564_TIC63898957-01_20181225_LCO-SSO-0m4_ip_measurements,2018-12-25,2458477,LCO-SSO-0m4,ip,TIC63898957,1,measurements.tbl,TIC63898957-01_20181225_LCO-SSO-0m4_ip_measurements.tbl,14.831998944282532,2.754168000072241,98.5,5,128
1564_TIC63898957-01_20181225_LCO-SSO-0m4_ip_Near_measurements,2018-12-25,2458477,LCO-SSO-0m4,ip,TIC63898957,1,Near_measurements.tbl,TIC63898957-01_20181225_LCO-SSO-0m4_ip_Near_measurements.tbl,14.831998944282532,2.754168000072241,98.5,5,212
